vf_id,domain,domain_code,capability,origin,source_r2v_ids,source_capabilities,evidence_class,decision,priority,candidate_or_reference,authority_rule,verification_gate,status
VF-BRG-005,03 Native-web workspace bridge,BRG,Web Surface Health State,REPLIT-DERIVED-REQUIREMENT,R2V-044,Bridge WebView lifecycle/error handling,PACKAGE-PROVEN,OWN,P0,react-native-webview + telemetry,"VibeFlow is authoritative for Web Surface Health State state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-006,03 Native-web workspace bridge,BRG,Low-latency Device State Dispatch,REPLIT-DERIVED-REQUIREMENT,R2V-045,Bridge worklet keyboard dispatch,PACKAGE-PROVEN,OWN,P0,RN worklets/native event transport,"VibeFlow is authoritative for Low-latency Device State Dispatch state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-007,03 Native-web workspace bridge,BRG,EditorState projection,REPLIT-DERIVED-REQUIREMENT,R2V-046,Editor state projection,PACKAGE-PROVEN,OWN,P0,Schema + revision token,"VibeFlow is authoritative for EditorState projection state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-008,03 Native-web workspace bridge,BRG,ConnectionRefresh action,REPLIT-DERIVED-REQUIREMENT,R2V-047,Git refresh connection,PACKAGE-PROVEN,OWN,P1,Connection service,"VibeFlow is authoritative for ConnectionRefresh action state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-009,03 Native-web workspace bridge,BRG,Direction-bound envelope,REPLIT-DERIVED-REQUIREMENT,R2V-048,Message direction,PACKAGE-PROVEN,OWN,P1,Typed enum,"VibeFlow is authoritative for Direction-bound envelope state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-010,03 Native-web workspace bridge,BRG,message_id + correlation_id,REPLIT-DERIVED-REQUIREMENT,R2V-049,Message identity,PACKAGE-PROVEN,OWN,P1,UUID/ULID,"VibeFlow is authoritative for message_id + correlation_id state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-011,03 Native-web workspace bridge,BRG,Bridge Version Negotiation,REPLIT-DERIVED-REQUIREMENT,R2V-050,Native bridge protocol version literal,PACKAGE-PROVEN,OWN,P0,Typed schema + semver/capability negotiation,"VibeFlow is authoritative for Bridge Version Negotiation state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-012,03 Native-web workspace bridge,BRG,DeviceLayoutState,REPLIT-DERIVED-REQUIREMENT,R2V-051,Native dimensions/safe-area state,PACKAGE-PROVEN,OWN,P1,Schema + platform APIs,"VibeFlow is authoritative for DeviceLayoutState state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-013,03 Native-web workspace bridge,BRG,Privileged Native Action Request,REPLIT-DERIVED-REQUIREMENT,R2V-052,Native review request over bridge,PACKAGE-PROVEN,REJECT/OMIT,P0,Typed bridge + platform API,Not a greenfield core authority; no foundational dependency on this capability.,Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-014,03 Native-web workspace bridge,BRG,OAuth Broker UI handoff,REPLIT-DERIVED-REQUIREMENT,R2V-053,OAuth relay,PACKAGE-PROVEN,OWN,P0,OAuth/OIDC broker,"VibeFlow is authoritative for OAuth Broker UI handoff state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-015,03 Native-web workspace bridge,BRG,Origin + account/project/workspace binding,REPLIT-DERIVED-REQUIREMENT,R2V-054,Origin/auth binding,UNKNOWN/PRIVATE,OWN,P0,WebView allowlist + signed session capability,"VibeFlow is authoritative for Origin + account/project/workspace binding state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-016,03 Native-web workspace bridge,BRG,EntitlementUpsellRequest,REPLIT-DERIVED-REQUIREMENT,R2V-055,Payment/upsell bridge,PACKAGE-PROVEN,OWN,P0,Business system route,"VibeFlow is authoritative for EntitlementUpsellRequest state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-017,03 Native-web workspace bridge,BRG,Permission Broker,REPLIT-DERIVED-REQUIREMENT,R2V-056,Permission request/result,PACKAGE-PROVEN,OWN,P1,Capability policy + platform permissions,"VibeFlow is authoritative for Permission Broker state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-018,03 Native-web workspace bridge,BRG,Nonce/sequence/idempotency policy,REPLIT-DERIVED-REQUIREMENT,R2V-057,Replay resistance/idempotency,UNKNOWN/PRIVATE,OWN,P1,Remote/bridge session state,"VibeFlow is authoritative for Nonce/sequence/idempotency policy state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-019,03 Native-web workspace bridge,BRG,TerminalCommand,REPLIT-DERIVED-REQUIREMENT,R2V-058,Shell commands/input/paste,PACKAGE-PROVEN,OWN,P1,PTY capability adapter,"VibeFlow is authoritative for TerminalCommand state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-020,03 Native-web workspace bridge,BRG,EditorAction command,REPLIT-DERIVED-REQUIREMENT,R2V-059,Text editor actions,PACKAGE-PROVEN,OWN,P1,Typed command schema,"VibeFlow is authoritative for EditorAction command state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-021,03 Native-web workspace bridge,BRG,VibeFlow Workspace Bridge Protocol,REPLIT-DERIVED-REQUIREMENT,R2V-060,Versioned bridge protocol,PACKAGE-PROVEN,OWN,P0,JSON Schema/Zod/Protobuf envelope,"VibeFlow is authoritative for VibeFlow Workspace Bridge Protocol state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-022,03 Native-web workspace bridge,BRG,WorkspaceAction command,REPLIT-DERIVED-REQUIREMENT,R2V-061,Workspace actions/open pane,PACKAGE-PROVEN,OWN,P0,Capability-driven command registry,"VibeFlow is authoritative for WorkspaceAction command state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-023,03 Native-web workspace bridge,BRG,Capability Invocation Envelope,REPLIT-DERIVED-REQUIREMENT,R2V-062,Workspace open-pane request family,PACKAGE-PROVEN,OWN,P0,Typed bridge command registry,"VibeFlow is authoritative for Capability Invocation Envelope state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-024,03 Native-web workspace bridge,BRG,WorkspaceState projection,REPLIT-DERIVED-REQUIREMENT,R2V-063,Workspace state request/response,PACKAGE-PROVEN,OWN,P0,Versioned schema,"VibeFlow is authoritative for WorkspaceState projection state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-IAM-001,"04 Identity, organizations, tenancy and authorization",IAM,Deletion Orchestrator,REPLIT-DERIVED-REQUIREMENT,R2V-064,Account deletion/data lifecycle,PACKAGE-PROVEN,OWN,P1,Workflow engine,"VibeFlow is authoritative for Deletion Orchestrator state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-002,"04 Identity, organizations, tenancy and authorization",IAM,App Auth Provider Binding,REPLIT-DERIVED-REQUIREMENT,R2V-065,App-level authentication separate from builder auth,DOCUMENTED,BRIDGE,P0,Clerk/Replit Auth/OIDC adapters,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for App Auth Provider Binding.",AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-003,"04 Identity, organizations, tenancy and authorization",IAM,App Identity Adapter,REPLIT-DERIVED-REQUIREMENT,R2V-066,Application SSO/OAuth provider configuration,DOCUMENTED,BRIDGE,P0,OIDC/SAML provider adapters,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for App Identity Adapter.",AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-004,"04 Identity, organizations, tenancy and authorization",IAM,Audit Event Ledger,REPLIT-DERIVED-REQUIREMENT,R2V-067,Audit logs,DOCUMENTED,OWN,P1,OpenTelemetry/audit DB; WorkOS optional,"VibeFlow is authoritative for Audit Event Ledger state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,IMPLEMENTED
VF-IAM-005,"04 Identity, organizations, tenancy and authorization",IAM,VibeFlow Session,REPLIT-DERIVED-REQUIREMENT,R2V-068,Builder account session refresh,PACKAGE-PROVEN,OWN,P1,Better Auth/OIDC + custom account authority,"VibeFlow is authoritative for VibeFlow Session state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,IMPLEMENTED
VF-IAM-006,"04 Identity, organizations, tenancy and authorization",IAM,VibeFlow Account Identity,REPLIT-DERIVED-REQUIREMENT,R2V-069,Email/password account auth,PACKAGE-PROVEN,OWN,P0,Better Auth / OIDC,"VibeFlow is authoritative for VibeFlow Account Identity state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,IMPLEMENTED
VF-IAM-007,"04 Identity, organizations, tenancy and authorization",IAM,Federated Login,REPLIT-DERIVED-REQUIREMENT,R2V-070,Google/Apple/GitHub native SSO,PACKAGE-PROVEN,ADOPT,P1,OIDC/OAuth providers,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Federated Login.,AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-008,"04 Identity, organizations, tenancy and authorization",IAM,MFA / verification,REPLIT-DERIVED-REQUIREMENT,R2V-071,MFA / verification,PACKAGE-PROVEN,ADOPT,P0,WebAuthn/TOTP/email verification libraries,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for MFA / verification.,AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-009,"04 Identity, organizations, tenancy and authorization",IAM,OAuth Callback Broker,REPLIT-DERIVED-REQUIREMENT,R2V-072,Native OAuth callback routing,PACKAGE-PROVEN,OWN,P0,App Links/Universal Links + PKCE,"VibeFlow is authoritative for OAuth Callback Broker state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-010,"04 Identity, organizations, tenancy and authorization",IAM,Project ownership,REPLIT-DERIVED-REQUIREMENT,R2V-073,Project ownership,PACKAGE-PROVEN,OWN,P0,Canonical resource graph,"VibeFlow is authoritative for Project ownership state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,IMPLEMENTED
VF-IAM-011,"04 Identity, organizations, tenancy and authorization",IAM,Resource policy,REPLIT-DERIVED-REQUIREMENT,R2V-074,Resource visibility/private access,DOCUMENTED,OWN,P1,OpenFGA + gateway,"VibeFlow is authoritative for Resource policy state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,IN_PROGRESS
VF-IAM-012,"04 Identity, organizations, tenancy and authorization",IAM,Role/Group binding,REPLIT-DERIVED-REQUIREMENT,R2V-075,Roles/groups,DOCUMENTED,OWN,P1,OpenFGA,"VibeFlow is authoritative for Role/Group binding state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-013,"04 Identity, organizations, tenancy and authorization",IAM,Enterprise SSO,REPLIT-DERIVED-REQUIREMENT,R2V-076,SAML SSO,CORROBORATED,BRIDGE,P1,WorkOS / Auth0 / Zitadel,Authority assigned explicitly at implementation time; provider state is never silently promoted to VibeFlow truth.,AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-014,"04 Identity, organizations, tenancy and authorization",IAM,Enterprise Provisioning,REPLIT-DERIVED-REQUIREMENT,R2V-077,SCIM lifecycle provisioning,DOCUMENTED,DEFER,P1,SCIM 2.0,Not a greenfield core authority; no foundational dependency on this capability.,AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
