id,domain,capability,replit_role,evidence_class,evidence,evidence_refs,replit_authority,vibeflow_equivalent,vibeflow_authority_rule,canonical_decision,decision,candidate,license_commercial_posture,priority,verification_gate,rationale
R2V-011,01 Experience surfaces and navigation,Search / command surface,"Locates tools, projects and workspace actions from a unified search entry.",DOCUMENTED,D,Replit Docs: Project Editor,Replit Project Editor,Command/Search Palette,"VibeFlow is authoritative for Command/Search Palette state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN+ADOPT,cmdk/Monaco command APIs + custom registry,MIT,P1,Functional + security tests,A provider-neutral command plane should not depend on one workspace vendor.
R2V-012,01 Experience surfaces and navigation,Security center surface,Surfaces vulnerabilities and Agent remediation actions.,DOCUMENTED,D,Replit Docs: Workspace Security Center 2.0,Security service,Assurance Center,"VibeFlow is authoritative for Assurance Center state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN+ADOPT,Custom UI + scanner adapters,CUSTOM/OWNED,P1,Functional + security tests,Security results must feed verification/policy.
R2V-013,01 Experience surfaces and navigation,Settings/account/billing surface,"Profile, plans, usage, connections, security settings.",CORROBORATED,P+D,Prior XAPK/docs evidence register; see Final Source Register,Replit account/control plane,Account & Billing,"VibeFlow is authoritative for Account & Billing state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Native + web business portal,CUSTOM/OWNED,P1,Functional + security tests,VibeFlow owns product account/entitlement UX.
R2V-014,01 Experience surfaces and navigation,Task activity / progress surface,Displays active Agent work and task progress separately from code tools.,DOCUMENTED,D,Replit Docs: Agent 4; Project Editor,Agent/task system,Task Activity Center,"VibeFlow is authoritative for Task Activity Center state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Custom task/event UI,CUSTOM/OWNED,P1,Functional + security tests,Durable task state is a VibeFlow authority.
R2V-015,01 Experience surfaces and navigation,Tool dock / all-tools launcher,"Opens workspace tools such as Git, Database, App Storage and Security.",DOCUMENTED,D,Replit Docs: Project Editor; App Storage,Replit Project Editor,Capability Dock,"VibeFlow is authoritative for Capability Dock state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Custom capability registry UI,CUSTOM/OWNED,P1,Functional + security tests,Expose capabilities based on bound providers rather than fixed Replit services.
R2V-016,01 Experience surfaces and navigation,Workspace WebView on mobile,Hosts dense workspace/editor experience from native app.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Replit mobile + web workspace,Secure Workspace Web Surface,"VibeFlow is authoritative for Secure Workspace Web Surface state/policy; external IDs are references, never the source of VibeFlow truth.",BRIDGE,OWN BRIDGE,react-native-webview + custom bridge,CUSTOM/OWNED,P1,Functional + security tests,Hybrid surface is validated by direct client evidence.
R2V-017,02 Mobile native client and device integration,Android navigation mode detection,Custom native module reads Android secure navigation_mode to adapt UX.,PACKAGE-PROVEN,P-DALVIK,APK: android/21_replit_custom_dalvik_disassembly.json,AndroidDeviceInfo native module,Device Geometry Capability,"VibeFlow is authoritative for Device Geometry Capability state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN,Expo native module / Android Settings API,MIT,P1,Device/native integration tests + permission/security review,Direct custom Dalvik evidence shows mobile geometry is first-class.
R2V-018,02 Mobile native client and device integration,App group / shared iOS container,App config declares app-group capability for extension/shared state.,PACKAGE-PROVEN,P-CONFIG,APK: android/06_expo_app_config.json,iOS application shell,Extension Shared Container,Not a greenfield core authority; no foundational dependency on this capability.,DEFER,DEFER,Apple App Groups,EXTERNAL/PLATFORM - commercial terms apply,P1,Device/native integration tests + permission/security review,Needed only if VibeFlow uses widgets/live extensions requiring shared state.
R2V-019,02 Mobile native client and device integration,App lifecycle integration for keyboard observers,Native lifecycle listener starts/stops keyboard observation safely.,PACKAGE-PROVEN,P-DALVIK,APK: android/21_replit_custom_dalvik_disassembly.json,PhysicalKeyboard native module,Lifecycle-bound Device Observers,"VibeFlow is authoritative for Lifecycle-bound Device Observers state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN,Expo module lifecycle APIs,MIT,P1,Device/native integration tests + permission/security review,Prevents stale device-state listeners.
R2V-020,02 Mobile native client and device integration,Biometric re-authentication,Device-local access gating capability.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Device security,Local approval unlock,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Local approval unlock.,ADOPT,ADOPT,Platform biometrics,VERIFY PER DEPENDENCY,P1,Device/native integration tests + permission/security review,Useful for sensitive approvals.
R2V-021,02 Mobile native client and device integration,Camera/photo attachment,Visual context for AI/build tasks.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Device capability,Context attachment,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Context attachment.,ADOPT,ADOPT,Expo camera/image picker,MIT,P1,Device/native integration tests + permission/security review,Attach evidence/context; scope permissions.
R2V-022,02 Mobile native client and device integration,Deep links/app links,Open auth/project/workspace/payment routes from external contexts.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Mobile routing,Signed/declarative deep-link router,"VibeFlow is authoritative for Signed/declarative deep-link router state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN+ADOPT,Platform App Links/Universal Links,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Bind links to account/project context.
R2V-023,02 Mobile native client and device integration,Expo splash / ReactActivity delegate integration,MainActivity uses Expo splash and wrapped ReactActivity delegate.,PACKAGE-PROVEN,P-DALVIK,APK: android/24_replit_custom_dalvik_disassembly.txt,Android application shell,Mobile Bootstrap,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Mobile Bootstrap.,ADOPT,ADOPT,Expo + React Native,MIT,P1,Device/native integration tests + permission/security review,Commodity shell mechanics.
R2V-024,02 Mobile native client and device integration,Expo/React Native runtime,Cross-platform application runtime; Hermes executes product logic.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Client runtime,Mobile runtime,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Mobile runtime.,ADOPT,ADOPT,Expo + React Native + Hermes,MIT,P1,Device/native integration tests + permission/security review,Commodity platform.
R2V-025,02 Mobile native client and device integration,File download/share,Bridge-triggered file/URL downloads and support asset sharing.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Mobile shell,Artifact download/share,"VibeFlow is authoritative for Artifact download/share state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN,Platform share/download APIs,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Needed for artifacts/logs; authorize every resource.
R2V-026,02 Mobile native client and device integration,iOS Live Activities with frequent updates,App config enables Live Activities/frequent updates for background status.,PACKAGE-PROVEN,P-CONFIG,APK: android/06_expo_app_config.json,Mobile shell,Live Execution Status,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Live Execution Status.",BRIDGE,BRIDGE,ActivityKit via Expo target/native module,MIT,P1,Device/native integration tests + permission/security review,Useful phone control-plane differentiator.
R2V-027,02 Mobile native client and device integration,New Architecture/Fabric-capable React Native bootstrap,MainApplication includes React Native/Expo new-architecture bootstrap path.,PACKAGE-PROVEN,P-DALVIK,APK: android/24_replit_custom_dalvik_disassembly.txt,Android application shell,RN Runtime Bootstrap,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for RN Runtime Bootstrap.,ADOPT,ADOPT,Expo/React Native,MIT,P1,Device/native integration tests + permission/security review,Keep thin; product value is above runtime.
R2V-028,02 Mobile native client and device integration,OTA update channel,Versioned JS/assets delivery with runtime compatibility.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Mobile release system,Signed update channel,"VibeFlow is authoritative for Signed update channel state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,ADOPT+OWN POLICY,expo-updates,MIT,P1,Device/native integration tests + permission/security review,Adopt mechanics; own release/security policy.
R2V-029,02 Mobile native client and device integration,Physical keyboard support,Custom Android module and provider for hardware keyboard behavior.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Native module,Keyboard capability adapter,"VibeFlow is authoritative for Keyboard capability adapter state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN GLUE,Native module + RN APIs,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Serious mobile IDE UX requires hardware keyboard handling.
R2V-030,02 Mobile native client and device integration,Physical-keyboard connection event,Native module emits physicalKeyboardConnectionDidChange with isConnected state.,PACKAGE-PROVEN,P-DALVIK,APK: android/21_replit_custom_dalvik_disassembly.json,PhysicalKeyboard native module,Hardware Keyboard State,"VibeFlow is authoritative for Hardware Keyboard State state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN,Expo native module,MIT,P1,Device/native integration tests + permission/security review,Directly validated mobile IDE requirement.
R2V-031,02 Mobile native client and device integration,Remote-notification background mode,App config enables background remote notification handling.,PACKAGE-PROVEN,P-CONFIG,APK: android/06_expo_app_config.json,Mobile shell,Background Notification Worker,"VibeFlow is authoritative for Background Notification Worker state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN+ADOPT,Expo Notifications/APNs/FCM,MIT,P1,Device/native integration tests + permission/security review,Needed for remote execution status without live socket.
R2V-032,02 Mobile native client and device integration,Rooted-device detection,Client-side device risk signal.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Mobile telemetry/security,Device posture signal,Not a greenfield core authority; no foundational dependency on this capability.,DEFER,DEFER,Platform checks,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Signal only; never sole authorization decision.
R2V-033,02 Mobile native client and device integration,Rounded screen corner detection,Uses Display/RoundedCorner APIs to adapt layout around device corners.,PACKAGE-PROVEN,P-DALVIK,APK: android/21_replit_custom_dalvik_disassembly.json,AndroidDeviceInfo native module,Screen Geometry State,"VibeFlow is authoritative for Screen Geometry State state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN,Android Display APIs,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Avoid hidden/clipped workspace controls on modern phones.
R2V-034,02 Mobile native client and device integration,Secure local storage,Stores mobile session/device credentials.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Mobile security boundary,Secure device credential store,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Secure device credential store.,ADOPT,ADOPT,expo-secure-store / Keychain/Keystore,MIT,P1,Device/native integration tests + permission/security review,Never store raw provider keys in ordinary state.
R2V-035,02 Mobile native client and device integration,Software keyboard state,Keyboard height/visibility/progress propagated to workspace.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Native-web bridge,Keyboard state bridge event,"VibeFlow is authoritative for Keyboard state bridge event state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Versioned bridge message,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Direct evidence of mobile-aware workspace integration.
R2V-036,02 Mobile native client and device integration,Store review prompt,Native review request triggered via bridge.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Growth/mobile shell,Review prompt,Not a greenfield core authority; no foundational dependency on this capability.,REJECT/OMIT,OMIT EARLY,Platform API,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Non-core growth feature.
R2V-037,02 Mobile native client and device integration,Tappable-element bottom inset detection,Uses RootWindowInsets/decor view to measure tappable navigation inset.,PACKAGE-PROVEN,P-DALVIK,APK: android/21_replit_custom_dalvik_disassembly.json,AndroidDeviceInfo native module,Safe Interaction Insets,"VibeFlow is authoritative for Safe Interaction Insets state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN,Android WindowInsets,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Dense IDE controls require accurate touch-safe geometry.
R2V-038,02 Mobile native client and device integration,Tracking transparency / attribution permission,Mobile config includes tracking transparency and AppsFlyer integration.,PACKAGE-PROVEN,P-CONFIG,APK: android/06_expo_app_config.json,Growth/attribution,Privacy-safe Attribution Gate,Not a greenfield core authority; no foundational dependency on this capability.,REJECT/OMIT,OMIT EARLY,Platform ATT + optional attribution provider,CUSTOM/OWNED,P1,Device/native integration tests + permission/security review,Not core to development control-plane.
R2V-039,02 Mobile native client and device integration,Voice/audio capture,Prompt/context capture via microphone/audio.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Device capability,Voice context input,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Voice context input.,ADOPT,ADOPT,Expo Audio + speech provider,MIT,P1,Device/native integration tests + permission/security review,"Optional UX, provider-neutral speech backend."
R2V-040,03 Native-web workspace bridge,ACK semantics,ACK exists in bridge vocabulary.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Bridge,ACK/result contract,"VibeFlow is authoritative for ACK/result contract state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Typed request/result envelope,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,Promote to explicit reliability semantics.
R2V-041,03 Native-web workspace bridge,Bridge performance tracing,Bridge dispatch/latency is measured.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Telemetry,Bridge telemetry,"VibeFlow is authoritative for Bridge telemetry state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,ADOPT+OWN TAGS,OpenTelemetry custom spans,Apache-2.0,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Treat bridge as first-class reliability surface.
R2V-042,03 Native-web workspace bridge,Bridge schema validation,Direct evidence of typed payload schemas/validators.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Bridge,Strict envelope/schema validation,"VibeFlow is authoritative for Strict envelope/schema validation state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,JSON Schema/Zod,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Reject unknown version/type; no permissive object pass-through.
R2V-043,03 Native-web workspace bridge,Bridge telemetry correlation,Bridge performance/error tracing is represented in compiled client.,PACKAGE-PROVEN,P-HBC,Hermes: bridge cluster,Bridge telemetry,Bridge Trace Context,"VibeFlow is authoritative for Bridge Trace Context state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,OpenTelemetry trace/span IDs,Apache-2.0,P0,Bridge schema/version/origin/idempotency conformance + device E2E,"Use one trace across native shell, gateway and workspace."
R2V-044,03 Native-web workspace bridge,Bridge WebView lifecycle/error handling,Hermes functions/literals cover WebView crashes/render errors and navigation state.,PACKAGE-PROVEN,P-HBC,Hermes: bridge cluster; security cluster,Mobile/workspace bridge,Web Surface Health State,"VibeFlow is authoritative for Web Surface Health State state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,react-native-webview + telemetry,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Web workspace must be recoverable independently of app shell.
R2V-045,03 Native-web workspace bridge,Bridge worklet keyboard dispatch,Hermes includes worklet-level keyboard bridge send path.,PACKAGE-PROVEN,P-HBC,Hermes: string_xrefs.tsv; official HDEC,Mobile/workspace bridge,Low-latency Device State Dispatch,"VibeFlow is authoritative for Low-latency Device State Dispatch state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,RN worklets/native event transport,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Shows certain mobile state must bypass slow UI paths.
R2V-046,03 Native-web workspace bridge,Editor state projection,"File path, text, selections, focus, revision ID and suggestion state cross the boundary.",PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Web editor,EditorState projection,"VibeFlow is authoritative for EditorState projection state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Schema + revision token,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Revision ID must be authority-aware to prevent stale edits.
R2V-047,03 Native-web workspace bridge,Git refresh connection,Bridge can request GitHub connection refresh.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Connection/repo authority,ConnectionRefresh action,"VibeFlow is authoritative for ConnectionRefresh action state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Connection service,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,Keep repo auth outside workspace page state.
R2V-048,03 Native-web workspace bridge,Message direction,Explicit FROM_NATIVE / TO_NATIVE direction semantics.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Bridge,Direction-bound envelope,"VibeFlow is authoritative for Direction-bound envelope state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Typed enum,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,Prevents ambiguous handlers and aids validation.
R2V-049,03 Native-web workspace bridge,Message identity,Generated message ID appears in direct keyboard worklet evidence.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Bridge,message_id + correlation_id,"VibeFlow is authoritative for message_id + correlation_id state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,UUID/ULID,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,"Use for ACK, idempotency, tracing and replay defense."
R2V-050,03 Native-web workspace bridge,Native bridge protocol version literal,Compiled Hermes paths reference explicit nativeBridgeProtocolVersion.,PACKAGE-PROVEN,P-HBC,Hermes: semantic/03_bridge_workspace_literals.json,Mobile/workspace bridge,Bridge Version Negotiation,"VibeFlow is authoritative for Bridge Version Negotiation state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Typed schema + semver/capability negotiation,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Independent native/web release cadence requires negotiated compatibility.
R2V-051,03 Native-web workspace bridge,Native dimensions/safe-area state,Workspace requests device dimensions/insets.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Device/UI authority,DeviceLayoutState,"VibeFlow is authoritative for DeviceLayoutState state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN THIN,Schema + platform APIs,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,Necessary for responsive mobile workspace.
R2V-052,03 Native-web workspace bridge,Native review request over bridge,Workspace can request platform review prompt through native shell.,PACKAGE-PROVEN,P-HBC,Hermes: semantic/03_bridge_workspace_literals.json,Bridge/mobile shell,Privileged Native Action Request,Not a greenfield core authority; no foundational dependency on this capability.,REJECT/OMIT,OMIT EARLY,Typed bridge + platform API,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Illustrates privileged action pattern even though review itself is non-core.
R2V-053,03 Native-web workspace bridge,OAuth relay,Bridge has OAuth relay ready/result/dismissed flows.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Connection authority,OAuth Broker UI handoff,"VibeFlow is authoritative for OAuth Broker UI handoff state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,OAuth/OIDC broker,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Raw tokens must not transit generic bridge payloads.
R2V-054,03 Native-web workspace bridge,Origin/auth binding,Not provable from retail client.,UNKNOWN/PRIVATE,U,Prior XAPK/docs evidence register; see Final Source Register,Private implementation,Origin + account/project/workspace binding,"VibeFlow is authoritative for Origin + account/project/workspace binding state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN STRONGER,WebView allowlist + signed session capability,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,VibeFlow should explicitly guarantee this even if Replit internals are unknown.
R2V-055,03 Native-web workspace bridge,Payment/upsell bridge,Workspace can open payment/upsell flows.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Commercial authority,EntitlementUpsellRequest,"VibeFlow is authoritative for EntitlementUpsellRequest state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Business system route,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Workspace must request; control plane decides entitlement.
R2V-056,03 Native-web workspace bridge,Permission request/result,Web workspace requests mobile/native permissions.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Device capability authority,Permission Broker,"VibeFlow is authoritative for Permission Broker state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Capability policy + platform permissions,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,Web cannot directly self-authorize native permissions.
R2V-057,03 Native-web workspace bridge,Replay resistance/idempotency,Not established by static evidence.,UNKNOWN/PRIVATE,U,Prior XAPK/docs evidence register; see Final Source Register,Private implementation,Nonce/sequence/idempotency policy,"VibeFlow is authoritative for Nonce/sequence/idempotency policy state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN STRONGER,Remote/bridge session state,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,Critical when bridge can invoke shell/editor/payment/permissions.
R2V-058,03 Native-web workspace bridge,Shell commands/input/paste,Native can interact with shell surface via bridge.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Workspace process authority,TerminalCommand,"VibeFlow is authoritative for TerminalCommand state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN+POLICY,PTY capability adapter,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,High-risk capability: scoped grants and approval policy.
R2V-059,03 Native-web workspace bridge,Text editor actions,Insert/paste/replace/set selection/action requests.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Web editor,EditorAction command,"VibeFlow is authoritative for EditorAction command state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Typed command schema,CUSTOM/OWNED,P1,Bridge schema/version/origin/idempotency conformance + device E2E,Authorize path/revision and require capability negotiation.
R2V-060,03 Native-web workspace bridge,Versioned bridge protocol,Messages carry explicit protocol version.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Mobile/workspace boundary,VibeFlow Workspace Bridge Protocol,"VibeFlow is authoritative for VibeFlow Workspace Bridge Protocol state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,JSON Schema/Zod/Protobuf envelope,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Required for independent mobile/web release cadence.
R2V-061,03 Native-web workspace bridge,Workspace actions/open pane,Native requests workspace actions and pane opening.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Web IDE,WorkspaceAction command,"VibeFlow is authoritative for WorkspaceAction command state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Capability-driven command registry,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Avoid provider-specific UI assumptions.
R2V-062,03 Native-web workspace bridge,Workspace open-pane request family,Compiled bridge vocabulary includes requests to open workspace panes/actions.,PACKAGE-PROVEN,P-HBC,Hermes: semantic/03_bridge_workspace_literals.json,Workspace bridge,Capability Invocation Envelope,"VibeFlow is authoritative for Capability Invocation Envelope state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Typed bridge command registry,CUSTOM/OWNED,P0,Bridge schema/version/origin/idempotency conformance + device E2E,Commands must be capability-scoped to bound workspace.
